gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
2017-03-09T00:00:00,35.0701758,-110.8343555,0,0.1635,92.5,0.732,1,0,697.65625,0,1,12,1694,,,,,0,0,,,,,,,,,,,,0,0,0
2017-03-09T00:00:01,35.0701758,-110.8343555,0,0.164,92.5,0.732,1,0,686.71875,0,1,12,1694,,,,,,,3,1,,,,,,-0.14357,-0.07183,,,,,
2017-03-09T00:00:02,35.0701758,-110.8343555,0,0.1655,92.5,0.732,1,0,699.21875,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:00:03,35.0701758,-110.8343555,0,0.1725,92.5,0.732,1,0,696.09375,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:00:04,35.0701758,-110.8343555,0,0.161,92.5,0.732,1,0,697.65625,0,1,12,1694,,,,203,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:00:05,35.0701758,-110.8343555,0,0.163,92.5,0.732,1,0,708.59375,0,1,12,,0,69,72,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:00:06,35.0701758,-110.8343555,0,0.173,92.5,0.732,1,0,699.21875,0,1,12,1694,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:00:07,35.0701758,-110.8343555,0,0.1725,92.5,0.732,1,0,697.65625,0,1,12,1694,,,,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:00:08,35.0701758,-110.8343555,0,0.162,92.5,0.732,1,0,703.125,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:00:09,35.0701758,-110.8343555,0,0.171,92.5,0.732,1,0,707.03125,0,1,12,1694,,,,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
