gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR
2017-04-07T14:00:27,33.3580056,-84.5581944,0,0.835,19.5,0,1,3.933279647,1171.875,0,0,-16.5,48646,0,,,,0,0,1,0,2,2,2,2,2,1.32793,0.43071
2017-04-07T14:00:28,33.3579991,-84.5582031,0,0.613,20,0,1,4.107263581,1150.78125,0,0,-7.5,48646,,,,,,,,,,,,,,,
2017-04-07T14:00:33,33.3579622,-84.5582813,0,0.294,21.5,1.464,1,5.455639068,875.78125,0,0,16.5,48646,,,,,,,,,,,,,,0.17945,-0.07175
2017-04-07T14:00:34,33.3579514,-84.5583051,0,0.754,21.5,2.196,1,7.158196135,1684.375,0,0,12,48646,,,,0,,,,,,,,,,,
2017-04-07T14:00:35,33.3579427,-84.5583377,0,1.7925,22,1.952,1,9.413773562,2125.78125,0,0,18,,,68,65,,,,,,,,,,,1.65094,0.1077
2017-04-07T14:00:36,33.3579275,-84.5583724,0,1.7675,22.5,1.22,1,12.402569,1826.5625,0,0,6,48646,,,,,,,,,,,,,,,
2017-04-07T14:00:37,33.3579102,-84.558418,0,1.378,22.5,1.464,1,14.16104947,1896.09375,0,0,6,48646,0,,,,0,0,1,0,,2,2,2,2,0.64602,0.07181
2017-04-07T14:00:38,33.3578906,-84.5584744,0,1.6505,23,-0.976,1,15.51563867,1678.90625,0,0,-9,,,,,,,,,,,2,2,2,2,,
2017-04-07T14:00:39,33.3578668,-84.5585395,0,1.6305,23,-1.464,1,17.06906665,1715.625,0,0,-12,48646,,,,,,,,,,,,,,1.0767,0.00003
2017-04-07T14:00:40,33.3578407,-84.5586089,0,1.5905,23.5,-1.22,1,18.54793009,1775,0,0,-10.5,,,68,65,,,,,,,,,,,,
2017-04-07T14:00:41,33.3578082,-84.5586849,,1.5695,23.5,-1.464,1,19.6477571,1660.9375,0,0,-9,48646,,,,,,,,,,,,,,1.00492,0.21537
2017-04-07T14:00:42,33.3577713,-84.5587652,0,1.6345,23.5,0.976,1,20.80350752,1699.21875,0,0,1.5,,,,,,,,,,,,,,,,
2017-04-07T14:00:43,33.3577322,-84.5588477,0,1.6585,24,1.708,1,21.99654021,1728.90625,0,0,7.5,48646,,,,,,,,,,,,,,1.11259,-0.39476
2017-04-07T14:00:44,33.3576888,-84.5589366,0,1.6005,24,1.708,1,23.00937525,1733.59375,0,0,7.5,,,,,0,,,,,,,,,,,
2017-04-07T14:00:45,33.3576454,-84.5590299,0,1.595,24.5,1.22,1,23.94764575,1684.375,0,0,4.5,48646,,68,65,,,,,,,,,,,0.86136,-0.07175
2017-04-07T14:00:46,33.357602,-84.5591319,0,1.2665,25,0.732,1,24.68086376,1492.1875,0,0,1.5,,,,,,,,,,,,,,,,
2017-04-07T14:00:47,33.3575586,-84.5592361,0,0.807,25.5,1.708,1,24.89212996,1351.5625,0,0,3,48646,0,,,,0,0,,,,,,,,0.21534,0.03592
2017-04-07T14:00:48,33.357513,-84.5593424,0,0.0655,,0.244,1,23.74880697,1044.53125,0.32,0,-1.5,,,,,,,,1,0,,,,,,,
2017-04-07T14:00:49,33.357474,-84.5594466,0,0.181,26,0.244,1,21.87226597,1012.5,0.54,0,-1.5,48646,,,,,,,,,,,,,,-0.57424,0.17948
2017-04-07T14:00:50,33.3574262,-84.5595703,0,0.235,26,0.732,1,20.4803945,985.9375,0.18,0,1.5,,,68,65,,,,,,,,,,,,
2017-04-07T14:00:51,33.357385,-84.5596745,0,0.262,26.5,1.952,1,18.54793009,1032.03125,0.52,0,7.5,48646,,,,,,,,,,,,,,-0.64602,0.00003
2017-04-07T14:00:52,33.3573481,-84.5597656,,0.2585,26.5,1.708,1,16.49119144,959.375,0.74,0,6,48646,,,,,,,,,,,,,,,
2017-04-07T14:00:53,33.3573177,-84.5598481,0,0.2955,27,-4.392,1,13.79444047,885.9375,0,0,-43.5,,,,,,,,,,,,,,,-0.03589,1.61508
2017-04-07T14:00:54,33.3572917,-84.5599197,0,0.335,27,-22.204,1,12.5082021,1017.96875,0,0,-193.5,48646,,,,,,,,,,,,,,,
2017-04-07T14:00:55,33.3572635,-84.5599783,0,3.2625,27.5,-31.964,1,12.89966595,1967.1875,0,0,-256.5,,,68,65,,,,,,,,,,,1.54327,3.58903
2017-04-07T14:00:56,33.3572244,-84.560013,0,3.059,28,-23.912,1,15.64612662,1979.6875,0,0,-154.5,48646,,,,,,,,,,,,,,,
